doc_id,title,text
mov-121,Andhadhun,"A pianist in India pretends to be blind to improve his musical focus and earn sympathy tips. When he inadvertently witnesses a murder during a private performance, his fake blindness becomes his only protection. A darkly comic chain of events pulls him deeper into a conspiracy involving the killer, organ traffickers, and a corrupt doctor."
mov-122,Tumbbad,"Across three generations, a family in rural India is cursed by their ancestor's greed. The patriarch discovers a tunnel beneath a decaying mansion where a trapped deity guards an endless supply of gold coins. Each trip into the tunnel risks awakening the creature, and the treasure's price grows steeper with every visit."
mov-123,Gully Boy,"A young man from the Mumbai slums discovers hip-hop and begins writing rap lyrics about life in the tenements. Mentored by a local rapper and supported by his girlfriend, he enters an underground rap battle competition. His music becomes a voice for the frustrations of an entire community trapped by poverty and caste."
mov-124,Barfi,"A deaf and mute young man in Darjeeling charms everyone around him with his physical comedy and genuine warmth. His life intertwines with two women across several years. One is a conventional girl pressured by her family, the other is autistic and withdrawn. The film moves between timelines as a police investigation frames the story."
mov-125,Drishyam,"A cable TV operator who learned everything from watching movies must protect his family after his teenage daughter accidentally kills the son of the local police chief. Using techniques he picked up from crime thrillers, he fabricates an elaborate alibi and manipulates evidence. The police chief suspects him but cannot crack his carefully constructed story."
mov-126,Chak De India,"A disgraced former hockey captain who was falsely accused of match-fixing is given a chance at redemption as coach of the national women's hockey team. He must transform a fractious group of players divided by regional rivalries into a unified squad capable of winning the World Cup. The team's journey mirrors his own fight for honor."
mov-127,The Intouchables,"A wealthy French quadriplegic hires an unlikely caretaker from the housing projects who has no qualifications but plenty of irreverent energy. Their friendship across class and cultural lines transforms both men. The caretaker refuses to treat his employer with pity, which is exactly what the man needs to feel alive again."
mov-128,Life of Pi,"After a shipwreck, a teenage boy is stranded on a lifeboat in the Pacific Ocean with a Bengal tiger for 227 days. He must keep the tiger fed enough to prevent it from eating him while navigating storms and dwindling supplies. When finally rescued, he tells an alternate version of events that forces the listener to choose which story to believe."
mov-129,Gone Girl,"On his fifth wedding anniversary, a man reports his wife missing. As the investigation unfolds, the media and public turn against him as evidence mounts that he killed her. The narrative alternates between his account and her diary entries, revealing that the truth about their marriage is far more sinister than either version suggests."
mov-130,Prisoners,"When two young girls vanish from a suburban neighborhood, a desperate father takes matters into his own hands after police release the prime suspect due to lack of evidence. He kidnaps and tortures the suspect in an abandoned building while a detective follows his own leads through a maze of clues and dead ends."
mov-131,Nightcrawler,"A petty thief discovers the lucrative world of freelance crime journalism in Los Angeles. Armed with a police scanner and a camera, he races to accident scenes and crime sites to capture graphic footage for morning news broadcasts. His ambition pushes him to increasingly unethical lengths to get the most dramatic shots."
mov-132,The Usual Suspects,"After a devastating explosion on a ship, the sole survivor is interrogated by police and recounts the elaborate heist that led to the disaster. Five career criminals were brought together by a mysterious mastermind known only by reputation. As the story unfolds, the detective realizes the narrative may be an elaborate fabrication."
mov-133,Shutter Island,"Two US marshals travel to a remote psychiatric facility on an island to investigate a patient's disappearance. The lead marshal, haunted by his wife's death, begins to suspect the institution is conducting sinister experiments. As a hurricane traps them on the island, reality itself becomes unreliable."
mov-134,The Conjuring,"Paranormal investigators are called to help a family terrorized by a dark presence in their isolated farmhouse. The family experiences escalating supernatural events including sleepwalking, unexplained bruises, and clocks stopping at the same time. The investigators discover the house has a long history of death and that a witch's curse is responsible."
mov-135,A Quiet Place,"A family survives in a post-apocalyptic world where blind creatures with hypersensitive hearing hunt anything that makes sound. They communicate in sign language, walk barefoot on sand paths, and live in constant silent tension. When the mother becomes pregnant, the approaching birth threatens their carefully maintained silence."
mov-136,Hereditary,"After the death of her secretive grandmother, a family begins to unravel as increasingly disturbing events occur in their home. A mother who builds miniature dioramas starts seeing visions. A tragic accident accelerates the family's descent as something ancient and malevolent manipulates them toward a horrifying predetermined fate."
mov-137,Jojo Rabbit,"A lonely German boy during World War Two has an imaginary friend who is a buffoonish version of the country's dictator. When he discovers his mother is hiding a Jewish girl in their attic, his worldview begins to crack. The satirical comedy becomes a story about a child choosing love over hatred."
mov-138,Whale Rider,"A young Maori girl in New Zealand believes she is destined to lead her people, but her grandfather clings to the tradition that only a male heir can become chief. She secretly learns the ancestral arts he refuses to teach her. Her determination eventually forces the old man to see that tradition and change can coexist."
mov-139,The Green Mile,"A death row corrections officer in 1930s Louisiana encounters a gentle giant convicted of murdering two young girls. The enormous prisoner turns out to possess supernatural healing powers. The officer must reconcile executing a man he believes is innocent and possibly miraculous with the demands of the justice system."
mov-140,Cast Away,"A driven package delivery executive is stranded alone on a deserted Pacific island after a plane crash. Over four years he learns to make fire, catch fish, and maintain his sanity. His only companion is a volleyball with a face drawn in blood. His rescue forces him to confront that the world moved on without him."
mov-141,The Pursuit of Happyness,"A struggling salesman invests his life savings in portable bone density scanners that doctors do not want to buy. After his wife leaves and he loses his apartment, he and his young son cycle through homeless shelters while he competes for an unpaid internship at a prestigious brokerage firm. Determination and a Rubik's Cube earn him the position."
mov-142,Good Will Hunting,"A janitor at a prestigious university solves advanced mathematics problems left on hallway blackboards. When his talent is discovered, a professor pairs him with a therapist to address the emotional damage from his abusive childhood. The janitor must decide whether to use his gifts or continue hiding behind his working-class identity."
mov-143,Dead Poets Society,"A charismatic English teacher at a strict New England boarding school inspires his students to think independently and seize the day. The boys revive a secret poetry club and begin to challenge the conservative expectations of their families and institution. When tragedy strikes, the school administration blames the teacher's influence."
mov-144,Rain Man,"A self-centered car dealer discovers that his recently deceased father left a multimillion dollar fortune to an older brother he never knew existed. The brother is an autistic savant living in an institution. The dealer effectively kidnaps his brother and drives cross-country, gradually developing genuine affection during the journey."
mov-145,Bohemian Rhapsody,"The story of a young Parsi immigrant in 1970s London who joins a struggling band as their lead vocalist and transforms them into one of the greatest rock groups in history. His extraordinary vocal range and stage presence bring global fame, while his personal life is marked by struggles with identity, relationships, and illness."
mov-146,Ford v Ferrari,"An American car designer and a fearless British racing driver build a revolutionary race car for a major automaker to challenge the dominant Italian team at the 1966 Le Mans twenty-four hour race. They battle both their competitor on the track and corporate interference from executives who want to control the program."
mov-147,Hacksaw Ridge,"A combat medic who refused to carry a weapon serves in one of the bloodiest battles of the Pacific War. His fellow soldiers initially mock his pacifist beliefs, but during the battle he single-handedly rescues seventy-five wounded men by lowering them one by one down a cliff face while under enemy fire."
mov-148,Soul,"A middle school music teacher gets his big break to play piano at a famous jazz club but falls into a manhole and his soul is separated from his body. In a cosmic realm where new souls develop their personalities before birth, he must mentor an uncooperative soul while finding a way back to his life."
mov-149,Coda,"The only hearing member in a deaf family discovers she has a gift for singing. Torn between her obligation to her parents who rely on her as their interpreter for their fishing business and her dreams of attending a music conservatory, she must prove to her family that their survival does not require her sacrifice."
mov-150,Dunkirk,"Allied soldiers from multiple countries are surrounded by enemy forces on the beaches and harbor of a French coastal town early in World War Two. The evacuation unfolds across three timelines: one week on the beach, one day on the sea as civilian boats sail to help, and one hour in the air as fighter pilots provide cover."
